,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number
206,2023,Spring,2023-sp,CHBE 431,Process Design,Advanced Composition,,,,,,CHBE,431
207,2023,Spring,2023-sp,CHEM 101,Introductory Chemistry,,,,Physical Sciences,,,CHEM,101
208,2023,Spring,2023-sp,CHEM 102,General Chemistry I,,,,Physical Sciences,,,CHEM,102
209,2023,Spring,2023-sp,CHEM 103,General Chemistry Lab I,,,,Physical Sciences,,,CHEM,103
210,2023,Spring,2023-sp,CHEM 104,General Chemistry II,,,,Physical Sciences,,,CHEM,104
211,2023,Spring,2023-sp,CHEM 105,General Chemistry Lab II,,,,Physical Sciences,,,CHEM,105
212,2023,Spring,2023-sp,CHEM 108,"Chemistry, Everyday Phenomena",,,,Physical Sciences,,,CHEM,108
213,2023,Spring,2023-sp,CHEM 202,Accelerated Chemistry I,,,,Physical Sciences,,,CHEM,202
214,2023,Spring,2023-sp,CHEM 204,Accelerated Chemistry II,,,,Physical Sciences,,,CHEM,204
215,2023,Spring,2023-sp,CHEM 317,Inorganic Chemistry Lab,Advanced Composition,,,,,,CHEM,317
216,2023,Spring,2023-sp,CHEM 437,Organic Chemistry Lab,Advanced Composition,,,,,,CHEM,437
217,2023,Spring,2023-sp,CHLH 100,Contemporary Health,,,,,,Social Sciences,CHLH,100
218,2023,Spring,2023-sp,CHLH 101,Introduction to Public Health,,,,,,Social Sciences,CHLH,101
219,2023,Spring,2023-sp,CHLH 244,Health Statistics,,,,,Quantitative Reasoning 1,,CHLH,244
220,2023,Spring,2023-sp,CHLH 260,Introduction to Medical Ethics,,,Historical & Philosophical Perspectives,,,,CHLH,260
221,2023,Spring,2023-sp,CHLH 274,Introduction to Epidemiology,,,,,Quantitative Reasoning 1,,CHLH,274
222,2023,Spring,2023-sp,CHLH 304,Foundations of Health Behavior,Advanced Composition,,,,,BSC,CHLH,304
223,2023,Spring,2023-sp,CHLH 330,Disability in American Society,,,,,,Social Sciences,CHLH,330
224,2023,Spring,2023-sp,CHLH 421,Health Data Analysis,,,,,Quantitative Reasoning 2,,CHLH,421
225,2023,Spring,2023-sp,CHP 396,Interdisciplinary Seminar ACP,Advanced Composition,,,,,,CHP,396
226,2023,Spring,2023-sp,CI 210,Introduction to Digital Learning Environments,,,,,,BSC,CI,210
227,2023,Spring,2023-sp,CLCV 114,Introduction to Ancient Greek Culture,,Western/Comparative Cultures,Literature & the Arts,,,,CLCV,114
228,2023,Spring,2023-sp,CLCV 115,Mythology of Greece and Rome,,Western/Comparative Cultures,Literature & the Arts,,,,CLCV,115
229,2023,Spring,2023-sp,CLCV 116,Introduction to Ancient Roman Culture,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,CLCV,116
230,2023,Spring,2023-sp,CLCV 120,The Classical Tradition,,Western/Comparative Cultures,Literature & the Arts,,,,CLCV,120
231,2023,Spring,2023-sp,CLCV 131,"Classical Archaeology, Greece",,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,CLCV,131
232,2023,Spring,2023-sp,CLCV 132,"Class Archaeology, Rome-Italy",,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,CLCV,132
233,2023,Spring,2023-sp,CLCV 133,Archaeology of Israel,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,CLCV,133
234,2023,Spring,2023-sp,CLCV 160,Ancient Greek & Roman Religion,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,CLCV,160
235,2023,Spring,2023-sp,CLCV 203,Ancient Philosophy,,,Historical & Philosophical Perspectives,,,,CLCV,203
