Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
53,2023,Spring,2023-sp,AFRO 215,US Citizenship Comparatively,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,215,,,,,,,,,,,,,Historical & Philosophical Perspectives
54,2023,Spring,2023-sp,AFRO 221,History of the Prison,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,221,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,Western/Comparative Cultures
54,2023,Spring,2023-sp,AFRO 221,History of the Prison,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,221,,,,,,,,,,,,,Historical & Philosophical Perspectives
55,2023,Spring,2023-sp,AFRO 224,Humanist Persp of Afro-Am Exp,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,224,,,US Minority Cultures,,Literature & the Arts,,,,,,,,US Minority Cultures
55,2023,Spring,2023-sp,AFRO 224,Humanist Persp of Afro-Am Exp,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,224,,,,,,,,,,,,,Literature & the Arts
56,2023,Spring,2023-sp,AFRO 228,Hip Hop Music: History and Culture,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,228,,,US Minority Cultures,,Literature & the Arts,,,,,,,,US Minority Cultures
56,2023,Spring,2023-sp,AFRO 228,Hip Hop Music: History and Culture,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,228,,,,,,,,,,,,,Literature & the Arts
57,2023,Spring,2023-sp,AFRO 231,Lang Diff Dis: American Persp,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,231,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
58,2023,Spring,2023-sp,AFRO 234,Black Religious Imaginations,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,234,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
59,2023,Spring,2023-sp,AFRO 243,Pan Africanism,Advanced Composition,Non-Western Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,243,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
60,2023,Spring,2023-sp,AFRO 250,Introduction to Health and Wellness in the Black Community,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,250,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
60,2023,Spring,2023-sp,AFRO 250,Introduction to Health and Wellness in the Black Community,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,250,,,,,,,,,,,,,US Minority Cultures
61,2023,Spring,2023-sp,AFRO 259,Early African American Literature and Culture,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,259,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
62,2023,Spring,2023-sp,AFRO 260,Modern African American Literature and Culture,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,260,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
63,2023,Spring,2023-sp,AFRO 261,Intro to the African Diaspora,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,261,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
63,2023,Spring,2023-sp,AFRO 261,Intro to the African Diaspora,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,261,,,,,,,,,,,,,Historical & Philosophical Perspectives
64,2023,Spring,2023-sp,AFRO 275,Afro-American History to 1877,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,275,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
64,2023,Spring,2023-sp,AFRO 275,Afro-American History to 1877,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFRO,275,,,,,,,,,,,,,Historical & Philosophical Perspectives
